"ExchangeID","Name","Description","XigniteSymbol","XigniteSuffix","CountryID","CurID","StartTID","EndTID"
129,"Hanoi","Hanoi Stock Exchange","NULL","NULL",24,42,10801,1
130,"MICE","Moscow Interbank Currency Exchange","NULL","NULL",62,,28801,68401
131,"DOHA","Qatar Exchange","NULL","NULL",60,45,77701,27001
132,"Tunish SE","Tunish Stock Exchange","NULL","NULL",72,50,48601,79201
133,"ABD","United Arab Emirates Stock Exchange","","",74,,,
134,"ADSM","Abu Dhabi Securities Market (ABD)","","",74,,,
135,"AT","AktieTorget","","",17,,,
136,"BIT","Borsa Italiana","","",16,,,
137,"BME","Bolsas y Mercados","","",68,6,,
138,"BMV","Bolsa Mexicana de Valores (MXK/BVM)","","",51,,,
139,"BPD","","","",,,,
140,"BRN","Bern Stock Exchange","","",70,,,
141,"BRVM","Bourse Regionale des Valeurs Mobilieres","","",34,,,
142,"BVL","Bolsa de Valores de Lima (Peru Stock Exchange)","","",22,,,
143,"CLB","Colombia Stock Exchange","","",20,,,
144,"CNSX","Canadian National Stock Exchange","","",4,,,
145,"DFM","Dubai Financial Market","","",74,,,
146,"DIFX","Dubai International Financial Exchange","","",74,,,
147,"EBR","Euronext Brussels","","",31,,,
148,"EGX","Egypt Stock Exchange","","",39,,,
149,"EPA","NYSE Euronext Paris","","",8,,,
150,"EUR","Euronext","","",53,,,
151,"FN","Nasdaq OMX First North","","",17,,,
152,"IBEX-35","Spanish Stock Exchange","","",68,,,
153,"IDX","Indonesia Stock Exchange","","",43,,,
154,"ISEQ","Dublin Stock Exchange","","",44,,,
155,"KAR","Pakistan Stock Exchange","","",56,,,
157,"KRX","Korean Stock Exchange (Kosdaq)","","",15,,,
158,"LSX","Lao Securities Exchange","","",,,,
159,"MASQ","Not available in list also","","",,,,
160,"MAU","Mauritius Stock Exchange","","",50,,,
161,"MSE","Mongolia Stock Exchange","","",,,,
162,"MYX","Bursa Malaysia","","",48,,,
163,"NGM","Nordic Growth Market","","",17,,,
164,"NJM","Nasdaq Japan Market","","",3,,,
165,"NOTC","Norwegian Over the Counter Market","","",13,,,
166,"OTCMKTS","Not available in list also","","",1,,,
167,"RTS","Russian Trading System Stock Exchange (RTC, RTD, R","","",62,,,
168,"SAU","Saudi Arabia Stock Exchange","","",78,,,
169,"SET","Stock Exchange of Thailand","","",71,,,
170,"SM","Spanish Alternative Market","","",68,,,
171,"TKO","Not available in list also","","",3,,,
172,"UZ","Ukraine Stock Exchange (KSE)","","",,,,
173,"ZSE","Zagreb Stock Exchange","","",35,,,
174,"NASDAQ","National Association of Securities Dealers Automat","","",1,,,
175,"TADAWUL","Saudi Stock Exchange","","",,,,
176,"SWX","SIX Swiss Exchange","","",,,,
